practice,total_items
M84066,107699
G82038,184285
N81096,173618
E81063,133171
F83057,79606
J82136,142751
A81041,185213
A81070,136482
M84041,107991
N84004,185792
C81647,141732
K81018,112110
M83005,145525
L83014,351790
G85013,137259
G85004,135468
G83024,68340
E84005,116257
A88004,197980
P81087,372982
L81649,164347
F81096,271228
H84050,110929
L81073,163290
Y04513,2005
J82084,91236
D82044,932600
L81028,90641
M83045,198504
J82212,34884
A88015,216243
H81030,181521
M83034,303968
B81693,23230
E87737,59313
H81101,60781
K81062,171824
P81127,70752
F83680,49771
E85658,33609
M81082,193987
P83006,140080
D82067,261133
E85029,244423
M84044,127365
B82063,254440
F83677,14373
B81118,181889
Y01795,26069
P81709,100559
P81015,175374
D82013,102439
B85042,170353
P91631,57207
L83010,117600
F83050,35679
Y00774,130833
N83003,174289
C83020,259403
N83628,68355
B82001,102312
C83009,252312
F81219,90750
M81604,128972
F86626,36170
C83075,165451
N83043,86327
C83030,174281
N84614,63244
E85008,104983
Y03808,35648
F81032,45545
Y03782,20839
Y05742,435
H84608,20328
M84603,18606
Y03822,14635
Y05595,318
Y01803,432
Y04921,480
Y04156,1211
Y04421,738
Y05015,258
Y03558,583
Y04792,559
Y04512,123
Y03826,306
Y05846,371
A83015,266990
P82006,155365
P81134,107531
P81730,205559
P81659,96715
P81070,178792
A82009,239087
P89023,126266
P92023,155849
P92648,52560
P92038,37343
C86003,248098
C86039,82632
Y00610,55
Y05805,3378
Y00427,71
B87033,80652
K83051,366299
K83018,196113
K83616,103338
C81034,165741
Y01897,56632
C84105,127906
C84004,145955
C84091,142807
C81068,180762
C82034,117243
M86605,47523
M88620,44717
M88647,52637
M82031,68755
Y00459,4762
Y05795,22251
M91612,57680
E81034,108635
D81045,170207
Y04142,171
E82050,62710
Y02611,75505
F81069,143317
F81606,75579
F81758,19964
E83035,148355
Y00206,59019
Y03786,7009
E85723,50887
E86605,35504
F84641,70340
H82070,194392
G82113,153889
K84618,89929
K84054,175309
K84027,267399
J81011,188169
L84081,122689
Y04957,661870
L82036,226453
L85001,231534
N85008,359649
M88006,235183
M85149,147850
M85142,26411
M85023,159284
Y01981,265
A86036,195070
A86037,192402
P84026,125475
G82092,109042
Y02666,13172
L83095,273801
L83019,136075
Y00044,27
Y04241,250
Y00367,8
Y02188,181
Y03133,183
Y04123,8
Y04089,73
Y05492,158
N84010,78379
Y01142,1109
Y04524,153
Y03482,308
Y05897,75
Y01992,23
Y03406,143
Y05947,30
Y03851,5
Y05923,452
Y06161,96
Y06266,4148
Y06073,3638
Y06130,1
L85625,7
Y06142,51
Y03973,1
Y03069,1
Y01732,29
Y03346,2
Y04757,1
F86675,8
Y00894,1
A87017,186193
P86009,209725
H85045,232532
P81057,242224
E81018,174606
B82037,289892
J82090,220913
J83047,176508
L83045,230572
G81613,96611
P91018,374396
B84009,228315
J84010,286369
Y02583,84044
C83007,705755
Y00094,2290
M83070,198903
B82105,189425
P81040,203349
G85112,61909
G83029,115813
E85074,34323
B85023,128699
F83615,68090
A88007,208760
H81048,106689
B86056,90138
N81087,597305
C84033,147620
G82684,101665
D83013,305703
C81604,59936
Y00351,160466
H85114,110088
B81108,108901
C83048,249091
G83052,166977
J82046,159457
P81180,89175
Y00502,26427
G81055,200599
H84639,28800
E85062,76724
K82014,72566
K82033,337457
B86029,65978
M84042,236214
H82640,147479
H85693,204526
M81009,121438
P83023,113916
B81031,280731
P81750,36741
F84635,60804
H82040,124381
N84002,70977
M83637,68549
Y04104,1811
F81073,1402
C83024,97539
Y05505,14333
Y05129,1755
Y05910,243
Y04608,33477
Y05116,7566
Y03125,1758
Y03821,2714
Y05253,2349
H81659,772
Y05823,857
Y05748,29934
Y00372,738
Y04209,1937
Y05872,127
Y05034,57
Y01706,619
Y05689,95
A83025,449976
A84024,212800
Y01262,1584
P82625,28864
P82014,148258
Y00186,26783
P85601,46903
P85606,61728
Y05274,2469
Y00445,301179
Y00597,35886
C85018,220116
C85006,144346
B81042,310190
B81100,84672
Y00539,5321
Y04669,244
Y02344,95383
B81048,273352
B86054,204021
Y00025,39746
C88069,382161
C88050,122152
Y05155,3082
C81082,78151
Y05286,151241
C81086,160791
C81648,52435
C82678,182621
C82103,182029
M84016,118204
Y04965,35388
M81627,134628
M83090,149181
Y02881,836
M91009,116228
M91650,165142
M92042,51185
E81045,153688
E81023,53969
D81008,552077
D81629,101313
D81055,148099
D81044,227235
D81082,110818
D81041,102536
Y01778,291
E82126,50006
D83039,318455
E82107,133605
F81014,242623
F81040,107390
Y01815,9374
Y00268,17784
E83649,33791
G84021,91787
G84032,131159
H83608,47342
H83052,62746
H83016,222618
H83050,80822
H83012,136426
H83002,3993
E85633,102626
Y02523,28258
E86015,271572
E86030,43057
E86619,34287
G85647,72616
H82031,127122
G82095,215922
G82711,52059
G82762,29472
K84049,56129
K84037,297483
K84075,157128
K84047,138296
J82064,256204
J82059,131924
L81673,4539
L84073,48841
Y00969,275890
L82014,36825
Y01746,11613
M85105,71600
A86028,92992
P84017,186720
P84650,100787
P84074,162901
P84005,58757
N82090,212950
N82665,100269
N82645,93582
G82099,321775
J83053,101387
J83052,84028
L83058,184736
L83068,51333
L83076,113577
Y05952,1063
Y03933,124
Y03121,83
Y05366,264
Y05868,497
Y04340,388
Y04275,212
Y03502,50
Y03864,136
Y04482,47
Y00554,46
Y04065,7
Y05626,37
Y04651,31
Y01071,26
B85638,49150
Y06196,162
Y05995,131
Y03250,14
Y03563,23
Y05973,186
Y06040,386
Y06037,17
Y05631,35
Y05606,23
Y05002,93
Y05496,5
Y05883,5
Y04595,5
Y06178,4
Y05634,9
Y04984,1
Y06252,2
Y05707,1
Y00990,4
Y03012,1
Y04424,1
Y05684,1
Y04761,3
Y04182,1
Y03586,2
C81100,1238
Y03303,1
Y05534,1
M81010,232202
B82028,241484
E81040,149182
F84114,73352
H84002,162361
G85040,101250
J83031,279824
N81060,231833
A83637,80843
G82090,383266
F86664,71099
D83610,215942
Y02414,92108
Y02721,50101
G83067,353734
F83632,82517
P91021,264166
D83018,279755
P83029,83677
H81046,64972
L81063,205926
B81656,129610
D83021,310135
G81036,177184
G81099,223186
H84630,37760
F81632,74548
J82022,222230
F86638,66464
M84620,50035
C84080,172868
B81617,184404
C83018,384264
K82067,205693
A86041,145096
H82036,136662
K82013,238775
H81647,23791
P81204,93366
K82003,196348
K82058,72489
F83005,25655
P81674,99768
H85683,82000
P81044,335720
C82076,136113
M83050,223404
C84090,103368
H81011,121821
N81089,201074
B85032,97722
C83023,491446
Y02710,75864
F86689,30898
G82115,139027
Y05367,17794
F83676,668
Y00507,25931
D82613,147701
C84133,112317
K82603,130484
C84140,149221
M83140,112468
K81655,57004
D82099,255086
F84060,77906
M83717,52756
Y04925,39471
Y05351,7171
Y05456,6821
A88014,61112
Y00868,12172
Y00454,20043
Y04204,2005
K81657,37592
Y04101,394
Y04108,4052
Y05243,391
Y04710,33
Y03500,1498
Y03922,2471
Y03773,3148
Y00768,322
Y02226,17697
Y02724,1366
Y05300,4432
N83641,9305
Y03920,200
Y01104,1823
A83020,340937
A83060,74847
A83046,278755
A83061,76466
A84042,54898
A84022,330062
A84038,201143
A81038,97655
A81633,7618
A89604,158092
P81166,60086
P81053,143147
Y02068,29156
A82654,160415
A82033,197814
P88002,120803
P89612,28511
P92041,176961
P92619,34004
P92005,76087
Y01126,45447
Y01118,80732
B81653,74384
Y02656,110513
Y04461,909
C88035,203181
C88032,163505
C88092,249724
C88059,69833
B87006,268369
K83077,225206
C81649,164502
C81015,202257
C84092,92068
C81020,177496
C81046,116711
M85153,44701
M86028,70130
Y04951,44822
M86013,74524
M87012,164069
M87618,36268
Y01756,91864
M88016,46627
Y03331,14796
M82021,176746
M83146,246780
M83700,66073
M91611,59804
M91654,41812
Y02736,74041
D81087,32521
Y04185,634
Y05763,783
E82089,279279
E82042,214205
E82056,163211
D83084,109107
Y02638,23738
E82663,2757
Y02310,928
E83039,70160
E84030,115067
E84645,99386
E84076,108808
E85107,126459
E85694,40838
F85039,79241
F82627,100607
E86009,91959
Y04098,1811
G85044,62164
F84717,98001
F86707,75251
F86012,119783
H82045,535215
H81061,144836
H81050,134168
H81007,96852
K84038,336171
J82124,197455
L81037,425591
J81005,441968
J81621,117536
L84036,201389
L84085,120675
L82007,70668
P84016,151808
P84663,82870
P84029,291150
N82623,31433
N82053,401941
G82152,106526
G82076,221273
J83039,223280
J83049,182494
Y03646,152
L83639,63237
L83026,134690
Y01693,301
Y01226,167
Y01249,77
Y05209,14
Y04281,61
Y04064,88
Y02561,88
Y00781,19
K81663,60
Y05473,229
Y05503,35660
Y01845,8
Y05655,1
A85605,19
Y04382,38
Y02316,5
Y05342,76
Y06239,438
Y03218,8618
Y00322,8352
Y06121,65
Y06238,175
Y04541,53
Y00229,12
Y03611,15
Y05890,19
Y04724,76
Y01891,12
Y06295,12
Y00919,61
Y01119,1
Y05060,3
Y04811,6
Y04640,4
Y04385,4
Y03212,1
Y03327,2
Y03941,3
Y05569,95
Y01689,3
M83107,126867
N81005,164071
G82211,142975
H85090,115320
B83006,255388
L81086,673016
B82031,191270
P81089,341388
N81071,118764
E81041,147927
Y05864,4368
D82048,270302
F82017,178704
F86666,171316
G81016,158225
L81079,395184
J82210,187102
B81065,271574
L81122,128937
H85008,156357
H85110,89636
F86011,155496
B81099,253092
H85695,50767
M81016,212448
M84006,292423
N81100,93915
C87022,197497
L83013,363283
F81675,75590
A83011,229188
M83010,167448
G81082,108493
N83049,79153
M84025,281491
Y03035,317048
F83624,77932
F81656,47026
B85051,167911
G82688,63502
A81014,103972
A81011,273856
B86049,143729
E87061,55679
C84696,72060
G85038,123925
A87012,265449
P81186,80600
F83658,52264
D83030,130169
H84044,117804
F84013,92748
Y05117,27524
L81132,59054
N81039,238180
A83029,132678
B85611,92125
Y03159,950
K82064,60485
Y02117,138773
H85049,60744
Y03132,4043
Y04606,26328
H81128,71389
F81649,83006
Y00997,668
Y03967,7371
Y04507,221
Y01243,2889
H85664,8547
Y05592,165
Y04959,8558
Y05289,1596
Y05245,131
C83017,70
Y04016,1116
Y00480,7808
Y03013,326
Y04985,70
Y04716,530
N81017,1258
Y04635,231
Y03447,22
Y05772,10874
Y05287,949
A84006,534947
A89035,285262
A89016,223579
Y03893,18358
Y02605,68906
P87627,34449
P87036,63399
Y05230,4454
P81013,237068
C81106,128107
C85008,360087
Y02509,21124
C83056,423126
K83012,262008
C81012,287386
C81101,165374
C84695,71794
C84693,79407
M85047,108105
M86039,86359
Y05164,583
M87620,85454
M87028,117711
M85697,70696
Y01039,524
Y01980,368
Y02626,83707
Y05333,23448
E81038,231674
D81086,124247
Y02769,68115
E82072,214284
Y01908,84
E82079,192743
D83028,170318
E82084,161938
E82025,73048
E82031,223705
E82043,221015
F81132,357572
F81133,250791
F81118,286999
E83032,232824
Y03109,92
G84025,65742
G84017,117054
G84039,31562
H83044,173190
Y00182,3155
E85712,82974
F85076,231427
Y03884,16716
Y05192,29053
G85109,158166
G85011,164854
G85016,172733
G85127,64248
F84729,63672
Y04702,27117
H82094,4894
Y02471,83829
H81041,111180
J82020,81999
L81009,255691
L81112,85455
L81023,142104
L81061,125272
J81059,150212
L82622,104067
L82015,144823
Y00049,11366
L85033,284471
M85177,119766
Y02893,266037
A86004,285239
N82076,132674
N82664,45987
F81743,12257
G82058,174905
L83008,359874
L83064,202640
L83002,425140
L83036,255603
Y04037,1815
E85727,140
Y05954,966
Y04535,44
B83044,79
Y04630,697
Y04260,173
Y03531,18
Y04408,115
Y04294,10
Y04387,7
Y03866,18
Y06100,163
Y05996,243
Y06137,471
Y05970,52
Y06167,102
Y06241,72
Y02859,547
Y06138,8
Y05508,21
Y02595,2
Y01691,7
Y04483,3
Y03701,12
Y02491,30
G82187,2
Y04151,6
Y01137,15
B81012,104297
B85660,105468
G81031,246828
