practice,total_items
Y02795,60252
P81758,31356
Y03357,19412
P81063,308888
B82083,673641
G83641,32379
M83727,84389
Y05132,2731
B81030,263514
E87038,116117
F81713,26257
K81078,184712
A81046,287831
J82622,435622
H85634,76195
B86008,311512
J82123,105284
M81026,599711
C81658,115688
K82020,100853
D82029,481385
M83035,99539
K82032,162390
Y00814,5292
N81614,88225
L81059,193365
M83132,76063
D83067,109323
G85642,68387
J82195,74258
E85113,81215
G81070,295610
F82003,74765
N84008,190700
F85045,50668
G83012,223440
A83033,249507
F86058,148985
L81026,307289
J84017,204116
C81056,217669
B82066,221022
P86026,126279
M89008,208710
C84045,179474
J82076,256431
B82045,116861
C82098,130943
B86019,124511
F82034,36533
P81177,35377
P86609,35498
Y02082,12432
B85026,131792
E87663,37793
H81107,64541
P86022,156507
M82027,138354
F84647,67206
F86607,136512
J82080,43818
G83028,165250
Y00737,28107
P83605,132812
Y05754,2150
E81631,35973
F82647,50996
Y01948,45826
P83621,68035
Y05024,8523
G82780,172404
Y03418,52478
Y01075,5964
Y03818,42045
Y00534,7501
Y05764,308
Y05974,373
Y04105,3864
Y02617,909
Y04058,1804
Y05324,72
Y03768,497
Y03490,1310
Y04576,3011
Y04463,2073
Y05392,7342
Y05389,1178
Y00081,4047
Y04610,556
Y00275,32
P86621,702
A81053,230881
A89015,229126
P82613,117295
Y00747,2328
P85006,157740
P81182,122871
P88005,292364
Y05739,751
B83007,101361
C86623,30791
B81009,216289
B86047,96148
B86101,84032
B86095,55859
Y03889,3958
C88076,146268
C88014,280396
C82018,431290
C84078,236231
C81040,88325
C82043,286324
M85174,66559
M85600,155836
Y02430,426
M86020,139215
M88023,87419
M85133,604
M82022,290745
M81017,219793
M83094,318467
M91624,62005
D81015,185514
D81005,84396
E82001,435410
E82004,72197
F81018,142229
F81043,396937
E83020,137574
E84702,68033
Y05838,221
H83005,105517
E85096,111692
E85028,108203
E85103,91719
E85034,152295
E85687,10016
F85004,300672
Y05069,308
G85021,156488
G85086,96819
F84121,275269
F84672,91382
H82096,100399
H82015,120671
G82719,38192
Y03610,16397
L81033,183962
L81133,41057
Y00400,287
J81022,148624
J81033,282655
J81064,67480
L84045,166994
L82025,133544
L82010,247931
M85063,1197285
M85008,63241
M85172,177944
A86031,195506
P84024,228367
P84038,165890
P84043,182384
N82052,107093
N82079,70200
Y05913,16
Y04478,974
Y05792,615
Y05092,156
Y00820,131
Y01914,353
Y03365,22
Y05607,93
Y00222,114
Y04053,14
Y04711,34
Y02436,170
Y06230,570
Y06028,8774
Y05831,48
Y04894,4
Y05777,16
Y04518,2
Y01044,27
Y05630,8
Y05237,4
Y03590,1
Y00581,2
Y04612,5
Y01177,1
A83014,177295
Y02002,90936
M81020,179834
N81018,194280
J83038,238108
A81040,187115
H85001,160124
F86030,70533
B86022,247894
D82018,152739
L81102,126009
J82142,172085
M84070,73730
M89005,139976
N83022,224561
M83110,216628
K82027,110505
K82018,240190
F84122,320953
B81606,102037
F82038,130174
C81096,133606
J82605,41153
D83076,102390
F85060,97311
A81608,117035
N81008,242871
N84015,184085
G85711,32833
H81045,132448
C82001,178872
M83130,78325
C82002,142746
Y05664,1245
F83063,107271
H84018,97606
P83611,43976
K81610,174362
F84719,57241
M83074,333503
B82060,252608
F84044,107091
K81092,123969
B81003,386641
C84042,105502
H85070,133204
P83021,214324
M83018,131982
Y01652,245973
Y03942,206260
F81205,147036
H85007,206492
Y05552,12849
Y01964,81551
K82621,52657
H81097,106195
B84001,154806
P86002,31781
Y03906,3661
B82002,153443
C83068,4330
Y00672,24311
K82048,118545
F82012,83514
Y03703,669
F83672,12827
B83069,1825
Y05759,16078
Y00623,28021
Y00438,3601
G81646,23619
B85655,59919
Y03726,1487
Y04543,793
Y05721,241
Y04187,3371
Y05747,664
Y02377,412
Y04719,4
Y05314,221
Y05583,1101
Y02609,1201
Y00643,8489
Y01841,6384
Y04574,23312
Y05727,12247
Y04292,7608
Y05615,192
Y05976,221
A84003,381203
A81049,181951
A89009,242707
Y03921,8684
P82626,105410
P82034,47369
P85016,256809
P81047,253779
P81749,8542
P81778,73097
P87660,85707
A82034,159809
P88043,252494
Y00050,37041
P92011,149121
B83010,239818
B83038,230519
B83020,171975
B81010,296009
B86057,316488
B86020,209230
Y05349,39793
C83019,821846
C83005,260303
Y03587,96957
C82662,45884
Y00028,60019
C81028,141704
C84704,83963
C84103,67309
C84676,49721
Y04498,82
Y03715,13363
M85136,154549
M85123,127649
M85051,86709
M84023,316330
M85064,50908
M88031,64754
M82020,82769
M91018,55828
M91036,77872
M92001,94463
D81023,266135
D81027,149584
Y02993,768
Y04186,412
D83074,170626
E82117,173605
E82046,225906
F81119,179896
F81138,86734
F81079,175418
F81106,223910
F81152,149494
H83013,171252
F85023,105397
E86001,174717
G85706,74061
F86060,166805
H81131,64928
K84009,248397
J82053,131213
L81120,113511
L81062,293642
L81031,408701
J81045,259452
J81012,271026
J81074,146297
L84001,149981
L84059,132950
L82001,251428
L85034,120046
Y02533,2522
M85035,78662
M85113,120184
M85699,78313
M85001,102340
Y03002,149
A86024,193372
N82094,186584
F81215,133855
F81648,7276
F81031,119047
G82681,116039
L83020,343347
L83084,160933
Y03796,1119
Y02209,406
Y00533,496
Y03089,970
Y05102,12
Y02851,197
Y03572,603
Y05014,188
Y00936,215
Y05895,173
Y05147,447
Y04370,625
Y02564,43
Y02422,35
Y03515,100
Y02738,27
Y06010,1945
Y04871,148
Y06275,16851
Y06170,509
Y06155,234
Y06021,34218
Y06243,114
Y04206,7
Y06045,13
Y00031,1
Y05946,47
Y00804,4
Y04548,6
Y04093,2
Y03213,1
Y05441,6
Y01633,1
Y04766,2
Y03154,2
Y01683,4
N81632,105017
F81084,68697
J82119,162953
C84032,361284
K81063,324726
Y01839,78042
K82009,166580
N81607,68535
P81154,165759
F81618,63687
H84032,143587
D82028,178678
M84002,136080
K82021,214208
J82041,140714
C87010,90761
H84006,111918
N81022,209853
A83047,369531
K81644,191809
K81007,74373
N83045,96518
K81020,205910
F85013,125006
Y02332,112398
D82046,140201
F86627,215734
C87616,138346
F81613,138566
H81085,101064
K81028,99230
H85078,54175
N81655,30331
N84014,80296
P83025,99643
B86108,58186
Y01281,61018
F84043,74826
A83073,169706
H82092,112000
H81006,69601
D82041,196430
B82611,88016
A81632,23272
Y04977,154152
M83015,167119
H84025,111642
F85031,152287
E81005,133177
C83626,141552
A83641,114897
N83024,226901
F83664,71931
G82702,47881
Y01894,3625
G82023,99691
G85020,34437
C83617,184833
M81608,94302
E87702,10322
Y00694,20252
F86712,37705
Y02514,12480
Y05843,5575
P81689,44476
Y04936,589
Y00862,10769
F85697,44597
Y04217,180
Y04441,14316
Y04830,41387
Y04162,1579
Y04050,1328
Y04590,7639
Y03106,7396
Y03947,3755
Y02292,364
A83075,207591
A83041,340703
A89024,207898
Y04687,7629
P85007,66141
P81132,197216
P87024,296676
A82016,713799
A82623,121818
A82608,85853
Y03742,351
P88012,160952
P88041,84047
P92605,99709
P92004,169554
C85030,307154
B81066,67205
C88039,219487
C88007,178947
C88040,133256
C83010,242245
C82073,263456
C82610,53310
Y04103,2558
K83055,114896
C84714,11530
M85156,95085
M86008,210405
M88002,164306
M88628,61160
Y03392,6019
M82016,154657
M83127,116907
M92016,245790
E81022,220651
D81001,82834
D81025,175587
D81645,46008
E82654,94621
E82013,414987
F81751,114469
F81181,268361
Y02409,2033
E83010,139152
Y03664,87437
Y04570,1384
G84009,48558
H83039,105415
E85006,85850
E84059,62920
E85053,64384
G85022,184007
G82775,50303
H81042,212028
H81034,92265
K84036,68637
K84024,158366
K84613,299316
K84004,182173
Y00313,583
J81034,232314
L84014,171595
L82008,183397
L82029,270543
L85029,219079
L85039,238149
N85027,238358
M85028,339473
M85026,228845
M85029,127188
M85066,203835
Y02889,18053
F81055,181189
F81085,225455
G82170,48732
L83098,99763
L83018,184551
L83042,187777
Y04633,385
Y02083,288
Y03534,245
Y03361,10
Y04336,95
Y00364,80
Y04296,194
Y03072,134
Y05377,7
Y02935,72
Y04184,27
F81755,5
Y03564,414
Y05263,63
Y05425,32
A89042,4
Y06030,9720
Y05997,127
Y03139,60
Y03397,112
Y06237,766
Y06201,151
Y06182,3107
Y06333,93
Y06034,2491
Y05994,247
Y03812,23
Y03157,44
Y04203,55
Y05662,63
Y05824,19
Y05915,287
Y06261,18
Y05082,10
Y03306,16
Y04646,2
Y04314,6
Y04036,5
Y03092,1
Y04152,5
Y03442,22
Y05072,50
Y01247,6
Y02587,1
Y05959,86
Y05437,2
Y06299,2
Y04503,2
Y05982,2
Y02210,1
J82005,94958
N83008,256777
D82030,226110
J82646,155569
H85047,179158
C82079,125816
F84115,90376
E87002,228797
G82086,178926
D83062,209438
N81085,193875
H81005,103769
P83005,105099
F81708,55663
H81013,522240
B82007,231281
F83686,46283
Y02194,8842
N84037,64711
M84063,89446
H85005,203157
A87003,291878
D83012,356279
G81039,384726
F82625,76499
C87603,81871
N81002,184896
F83652,76045
P81083,156862
B85018,177383
B85640,57853
C84065,127579
G81104,230342
F83048,79434
B82025,505836
E87026,65913
K82023,315278
K81052,110256
B86654,95953
G83044,144284
L83131,360680
C84029,375478
C84624,71408
P86003,215348
P81191,205996
N81127,222628
E87009,75145
J84019,281368
E84646,35138
F82677,98230
Y02854,40030
F84105,92491
F82612,86890
H81618,81390
Y03949,2717
H85618,72257
N81093,121370
C83041,169485
G81040,66353
B85005,126197
E87043,45281
Y03466,29764
Y00617,15049
Y03374,10200
Y05189,894
Y04628,3007
Y02957,943
Y04109,1637
Y04721,1111
Y03487,20173
Y02511,60
Y05724,3826
Y04578,3267
Y03070,339
Y02253,383
Y05211,451
Y03156,74
Y05118,5068
A84035,156408
Y03079,270486
P82018,108473
P82033,37088
Y04905,648
P87649,39036
A82048,151117
Y01008,1331096
P88028,21963
P89026,145861
P89030,90601
P92637,41747
C85614,83897
B86051,96277
C88031,228497
Y05154,4173
C88054,136222
C88043,206006
C88046,65572
C82651,73442
C82030,124488
C84135,69911
C81032,249173
Y04992,241
M87001,143485
Y01057,10334
M85801,12413
M81045,102777
Y04288,147
M83028,188577
M83068,186985
M83038,241434
M92024,284453
M92647,61949
Y03457,4047
E81046,237374
D81039,127853
Y00486,82729
E82121,101626
E82082,308559
D83049,155143
E82071,149116
Y00243,26657
F81149,249347
E83031,57922
E84033,80358
E84080,99464
F82666,63204
E86007,173670
E86640,58000
E86625,47832
G85674,40673
F84657,82158
H82013,281118
G82014,315081
G82077,267588
H81087,182654
K84014,198278
J82008,122143
J82150,240895
L81057,59501
L81015,281613
L81622,55117
Y03661,89881
L84027,140432
L84613,71224
Y01050,123636
L85040,90738
L85054,172689
Y02389,10104
N85625,280457
Y04870,7627
P84070,154426
Y05022,9319
G82025,216067
G82017,236384
L83096,397291
Y02373,156
Y03957,85
Y05409,58
Y04828,125
Y00535,160
Y01889,105
Y02056,255
F81742,11
Y06216,1552
Y06242,112
Y06301,223
Y06124,110
Y06277,404
Y06110,148
Y02167,879
Y03530,70
Y06061,5831
Y02547,7
Y03505,14
Y05869,18
D81643,2
Y01734,2
Y04444,1
Y04157,8
Y02285,3
Y05539,4
Y05529,1
B86681,3
Y03724,3
N81091,112918
C84013,332215
G81090,78645
H81075,196846
L83005,267810
K81050,163486
E81612,79782
C87012,261191
L83130,183813
B82057,119009
J82178,153970
G83005,108976
J82183,74684
H81037,216905
G82791,92282
E81028,182042
L81050,136115
H85038,173822
M81025,80642
G85030,69679
F82661,32867
P83010,73229
Y05205,11692
N83030,122630
G83018,212280
D83005,338142
B83025,70074
N84036,17699
G85134,55818
Y04585,15920
J83059,166973
F81097,265489
B81113,192769
L81130,180415
L81106,63596
E87714,49941
E87720,49041
M83722,75667
H85103,67630
G83006,219626
P86010,157259
Y00860,19935
E84075,56941
N81054,184017
E87067,130605
B83621,69488
G82650,199674
H81058,121493
G81667,41876
H81053,105839
P81046,134246
J84008,119414
B84003,179681
A87023,137028
K81094,46612
Y04426,11728
C83053,49434
E84601,84784
M83719,102300
B86031,79774
F85065,53479
G82225,175831
K81647,15067
N85638,15872
M84047,108210
Y04900,13361
G85119,70312
B83617,30453
Y05193,5631
D82069,70780
E81054,46292
Y04191,3811
E87772,7384
Y05050,1999
Y03765,4054
Y05686,5106
Y05434,9570
Y04918,842
Y03983,4
Y06014,291
Y04885,14979
Y03824,456
Y04790,7313
Y05673,15084
Y00822,262
A83626,62035
Y02203,1870
A84029,83042
A81035,210199
A89010,321500
Y00945,2004
P87016,196029
P87613,84996
P81029,476661
A82008,273492
P88018,204244
P88003,292584
P88607,66033
P92634,85225
C85014,276709
B83050,41437
C86022,226303
C86002,177136
C86614,237642
B81666,24632
B81049,182798
C88042,79449
C83055,166032
Y02686,40515
C82105,18093
Y03761,2694
K83003,193419
K83014,320945
C84018,179618
Y05430,15589
C81005,320805
M85056,116287
M85686,31504
Y04931,1556
M86022,24190
M86045,138129
M87030,70690
M87617,50771
M85778,28001
M82051,73811
M81058,331881
M83711,74225
Y00560,81524
E81002,139062
Y04592,2400
E82086,316051
Y01061,25415
D83073,71074
Y03837,5752
F81116,225215
F81026,224692
Y02081,14292
E83016,203472
G84016,173624
E85680,97350
F85682,58404
E86010,151545
E86038,58596
F84124,56515
H82023,223792
G82706,42150
H81009,231517
H81641,30957
K84042,148977
K84015,88365
Y03756,190
J82007,292716
J81041,316543
J81646,121762
L85002,187851
L85048,90614
L85624,71543
N85031,126435
M85158,42626
M85061,223665
A85617,96023
A86040,226543
P84652,115618
P84033,56102
P84689,73792
P84053,154907
Y04085,2132
N82048,203490
F81006,94103
J83041,286102
J83034,117278
L83044,169433
L83082,51998
L83085,305289
Y05958,233
Y03860,88
Y04415,163
Y05725,25
Y05683,186
Y04666,25
Y00879,873
Y04593,420
Y03857,4
Y05448,335
Y06240,102
Y06053,4271
Y05984,538
Y04629,10833
Y06147,54
Y06272,17
Y05240,4
Y05307,5
Y04873,1
A88611,11
Y02070,8
Y00704,5
Y03145,8
Y04754,1
G82658,104185
E87738,85416
P81681,361622
H82072,141786
E87609,167202
K82053,166684
M89013,105946
B83629,59026
M83025,160541
G85644,88352
D83029,299465
L81039,413331
M83062,310226
C84692,94620
J82201,113773
A83028,301457
H81083,173627
H81615,159456
G82639,61176
L81070,142936
M83001,278870
F81209,51942
E85739,158019
M84624,13526
B81022,409485
Y02842,48046
D82085,146944
C81083,178454
Y01719,68082
D82001,413352
B83026,103791
J83022,126125
B83604,48467
N81069,85908
Y05166,4360
D82624,84797
L83111,298516
H85105,191449
E85748,47154
D82015,256805
H81091,111009
P81058,198362
Y02676,34381
A81622,114037
M83093,111997
M89007,75797
E85016,141889
G82175,21200
F84118,97881
N81032,376716
P81066,193311
Y05818,21200
C82022,143481
M81024,108776
Y05928,7368
F81075,218056
N83637,92385
N83635,62002
B86625,57302
C81022,63291
Y05870,466
E81633,27770
E85719,71941
P86620,61778
Y03707,392
G83037,53429
Y04913,10821
Y03730,2129
Y01067,8461
Y04359,2373
Y05386,885
Y02139,2767
Y05309,883
Y04274,796
Y04622,8870
Y00833,570
Y04561,218
Y05403,75
A83619,94700
P82013,93760
Y00448,2275
P85028,113512
P85612,54069
P81160,244126
P81069,238473
P81780,84796
A82058,110887
Y00433,37254
P88006,148754
P92607,186393
P92623,55606
Y02886,41001
P92033,88939
C85623,69705
Y05827,1341
B83043,27763
B83049,106020
Y00384,4048
B86050,343851
B86038,164144
B86052,182197
B81020,188667
B81675,215655
Y04395,1878
B86042,323287
B86092,139933
B86638,624
C88010,443506
C88033,159825
C88021,177685
C88027,115869
C88648,132659
B87032,143815
C83006,30062
C82019,131754
Y01139,87396
C81070,129004
C81060,136776
Y02620,7858
M88637,38756
M88600,53782
M88635,40733
M82017,118456
M82011,94775
M83619,35160
M91647,91240
M91621,99725
M91026,46905
M92010,255740
D81065,69805
D81057,266601
D81021,257169
D81084,135579
D83079,214576
D83053,230680
