code,dispensing_patients
A83028,0
A83029,0
A83030,0
A83031,0
A83032,1183
A83033,415
A83034,0
A83035,1327
A83036,0
A83037,1542
A83038,0
A83040,0
A83041,0
A83042,0
A83043,1492
A83044,0
A83045,0
A83046,3832
A83047,0
A83048,2101
A83049,0
A83050,0
A83051,0
A83052,0
A83054,0
A83055,0
A83057,0
A83060,2148
A83061,3209
A83066,0
A83070,796
A83071,0
A83072,0
A83073,0
A83074,0
A83075,0
A83076,0
A83603,0
A83610,0
A83616,0
A83617,159
A83618,2191
A83619,0
A83622,1289
A83626,1588
A83627,0
A83630,0
A83632,0
A83634,0
A83635,0
A83636,0
A83637,13
A83641,0
A83642,0
A83643,0
A83644,0
A83645,0
A84002,0
A84003,0
A84005,0
A84006,2523
A84007,2493
A84008,2165
A84009,0
A84011,2513
A84013,510
A84014,0
A84015,0
A84016,0
A84018,3022
A84020,0
A84021,671
A84022,0
A84024,0
A84025,0
A84026,0
A84027,0
A84028,0
A84029,2096
A84030,0
A84031,0
A84032,1390
A84033,0
A84034,0
A84035,1114
A84036,0
A84037,0
A84038,0
A84039,1534
A84040,3188
A84042,1903
A84043,0
A84044,1408
A84045,1462
A84047,1135
A84048,0
A84604,1059
A84609,1515
A84614,0
A84619,0
A85001,0
A85002,0
A85003,688
A85004,0
A85005,0
A85006,0
A85007,0
A85008,0
A85009,0
A85010,0
A85011,0
A85012,0
A85013,0
A85014,0
A85016,0
A85017,0
A85018,0
A85019,0
A85020,0
A85021,0
A85023,0
A85024,159
A85026,0
A85605,0
A85609,0
A85611,0
A85614,0
A85616,0
A85617,0
A85619,0
A85620,0
A85621,0
A86003,0
A86004,0
A86005,0
A86006,0
A86007,0
A86008,0
A86010,0
A86011,0
A86012,0
A86013,0
A86015,0
A86016,0
A86017,0
A86018,0
A86020,0
A86021,0
A86022,0
A86023,0
A86024,0
A86025,0
A86026,0
A86027,0
A86028,0
A86029,0
A86030,0
A86031,0
A86033,0
A86035,0
A86036,0
A86037,0
A86038,0
A86040,0
A86041,0
A86601,0
A87002,0
A87003,0
A87004,0
A87005,0
A87006,0
A87007,0
A87008,0
