practice,list_size
A81001,4097.083333333334
A81002,19829.75
A81004,10307.333333333334
A81005,8020.416666666666
A81006,14520.75
A81007,10026.583333333332
A81009,8736.333333333332
A81011,11931.833333333334
A81012,4993.25
A81013,6460.666666666667
A81014,3806.25
A81015,2923.0
A81016,9944.333333333334
A81017,19519.666666666664
A81018,10154.416666666666
A81019,9700.25
A81020,7997.166666666667
A81021,13612.5
A81022,10412.666666666668
A81023,7778.5
A81025,4028.3333333333335
A81026,18222.75
A81027,14546.5
A81029,6147.916666666667
A81030,13642.0
A81031,12732.833333333332
A81032,10800.5
A81033,3462.0
A81034,21930.166666666668
A81035,10321.416666666666
A81036,17771.75
A81037,6838.166666666667
A81038,3601.916666666667
A81039,10238.583333333334
A81040,8560.166666666666
A81041,9175.166666666668
A81042,12986.916666666666
A81043,8456.583333333332
A81044,18870.166666666668
A81045,7369.416666666667
A81046,12581.666666666666
A81047,280.25
A81048,7388.083333333334
A81049,6387.833333333334
A81051,7176.0
A81052,8590.083333333334
A81053,6459.0
A81054,8191.25
A81056,2555.583333333333
A81057,8926.0
A81058,8381.75
A81060,5701.666666666667
A81063,5463.0
A81064,6800.083333333333
A81065,3941.25
A81066,4476.833333333333
A81067,11539.416666666668
A81070,6968.25
A81602,2489.4166666666665
A81608,4179.166666666667
A81610,7891.333333333333
A81611,7152.333333333333
A81612,3313.1666666666665
A81618,9313.166666666666
A81621,2302.5
A81622,5525.5
A81629,4920.75
A81630,770.3333333333334
A81631,6725.75
A81632,473.5
A81633,924.5
A81634,2190.0
A82003,10902.666666666666
A82004,2261.1666666666665
A82005,6376.916666666666
A82006,4875.666666666666
A82007,9577.5
A82008,10989.416666666666
A82009,8951.833333333334
A82010,6721.333333333333
A82012,15828.833333333334
A82013,6767.416666666667
A82014,4227.333333333333
A82015,5554.916666666667
A82016,36251.5
A82018,12404.166666666666
A82019,8406.833333333334
A82020,15252.083333333334
A82021,17141.583333333336
A82022,5101.666666666667
A82023,4708.75
A82024,5642.583333333333
A82025,10008.833333333332
A82026,17363.25
A82027,10242.916666666668
A82028,8302.75
A82029,3490.833333333333
A82030,6057.75
A82031,3004.3333333333335
A82032,13861.666666666668
A82033,8279.666666666666
A82034,6523.916666666667
A82035,14630.5
A82036,10091.916666666666
A82037,4223.333333333333
A82038,4572.5
A82039,8632.416666666668
A82041,10167.0
A82044,23151.166666666668
A82045,8710.083333333334
A82046,5817.416666666667
A82047,9184.0
A82048,6392.916666666666
A82049,5836.5
A82050,6807.166666666667
A82053,4865.333333333334
A82055,6869.666666666667
A82058,4241.25
A82060,2748.0833333333335
A82062,4722.0
A82064,4642.25
A82065,2967.0833333333335
A82068,4367.25
