name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
A81001,2,46.0,46.0,46.0,46.0,46.0,-0.0815997116928058,-0.0906312326895003,0.562657387963134,0.981948402440108,0.40184609906004704,0.580102303380062,0.590766584006377
A81002,2,42.0,42.0,42.0,42.0,42.0,-0.47875875877025104,-2.84439151028285,0.8391450390101701,0.647075517219106,0.0765439207563769,0.570531596462729,0.881707901598047
A81003,1,41.0,41.0,41.0,41.0,41.0,-0.036545913989003,-0.0403797280708926,0.52,0.9416018847682321,0.0644999490321601,0.8771019357360721,0.9314997664346899
A81004,3,40.0,40.0,40.0,40.0,40.0,-0.0964053528333386,-0.110673865888848,0.522165709323357,0.9674813928639651,0.0443515213308032,0.923129871533162,0.9541577526369649
A81005,1,40.0,40.0,40.0,40.0,40.0,-0.0347941992665192,-0.0364323605204686,0.538461538461538,0.989829743750962,0.0851805628214617,0.9046491809295009,0.913944227924825
A81006,3,41.0,41.0,41.0,41.0,41.0,-0.0825252572659736,-0.0937149524936498,0.5395732538010031,0.9631238711484871,0.19839677724022198,0.764727093908266,0.794006998286065
A81007,5,2.0,2.0,2.0,2.0,2.0,-0.0177987385435862,-0.023944992926247004,0.5070944108130601,0.766794050225076,0.0297054500647782,0.7370886001602979,0.961260197498848
A81008,0,,,,,,,,,,,,
A81009,2,44.0,44.0,44.0,44.0,44.0,-0.278580497299123,-0.39017344157874895,0.645130065242975,0.9925719370339989,0.128930596138807,0.8636413408951921,0.8701045321469821
A81011,6,27.0,27.0,40.0,40.0,40.0,-0.640000000000001,-0.639624158594303,0.672925887646351,1.00149328748941,0.0504227286816832,0.9510705588077291,0.9496524546778691
A81012,2,34.0,34.0,34.0,34.0,34.0,-0.0624191381070056,-0.0794345363758135,0.5824009653805029,0.8482125845708192,0.0979838028180702,0.7502287817527491,0.8844820218416729
A81013,3,41.0,41.0,41.0,41.0,43.0,-0.5807457288224871,-0.672618547106611,0.620160296341904,0.999434644957032,0.0629900962684253,0.936444548688607,0.9369742718183101
A81014,16,12.0,12.0,12.0,12.0,51.0,-0.9,-0.9035819680472149,0.9717047976667859,0.9976462638662109,0.0762703962703979,0.921375867595813,0.9235496598014359
A81015,2,47.0,47.0,47.0,47.0,47.0,-0.05278340737104001,-0.066476528407007,0.530499485896146,1.0,0.303517041165214,0.696482958834786,0.696482958834786
A81016,1,36.0,36.0,36.0,36.0,36.0,-0.0153609796692893,-0.0211661383968942,0.5333333333333329,0.7410946671870521,0.280265277108371,0.46082939007868,0.6218225693457421
A81017,1,29.0,29.0,29.0,29.0,29.0,-0.0127130248739642,-0.0242909292926688,0.5135135135135129,0.53607813457362,0.0656962142369455,0.47038192033667403,0.877450300618588
A81018,1,39.0,39.0,39.0,39.0,39.0,-0.0168088868562948,-0.0203000435320674,0.5185185185185179,0.844831094283695,0.390991149163736,0.45383994511996,0.537196071724557
A81019,6,14.0,14.0,14.0,14.0,41.0,-0.0583505738735032,-0.0639022941700153,0.51694788392875,0.9222971020997479,0.019295841236933998,0.9030012608628141,0.979078497381154
A81020,1,39.0,39.0,39.0,39.0,39.0,-0.0232072696999454,-0.02372564505998,0.5185185185185179,1.00135853350229,0.37476225160376797,0.626596281898527,0.625746184742621
A81021,1,23.0,23.0,23.0,23.0,23.0,-0.0172919410940111,-0.0231255715765587,0.511627906976744,0.765033074184063,0.0214796071415845,0.743553467042478,0.971923296042471
A81022,0,,,,,,,,,,,,
A81023,18,27.0,27.0,41.0,41.0,41.0,-0.250000000000001,-0.25071484475698397,0.529295817042386,0.9982285015920881,0.0535771669302793,0.9446513346618091,0.946327752769202
A81025,2,6.0,6.0,6.0,6.0,6.0,-0.00393494380071657,-0.0040197348663812,0.516666666666667,0.9828412477030541,0.7467446196600629,0.236096628042991,0.240218477393739
A81026,6,14.0,14.0,14.0,14.0,45.0,-0.23779413423015502,-0.29338097271774893,0.633576648069402,0.815034964366573,0.0643945013547246,0.7506404630118481,0.9209917314347729
A81027,0,,,,,,,,,,,,
A81029,0,,,,,,,,,,,,
A81030,1,37.0,37.0,37.0,37.0,37.0,-0.0158844533966933,-0.0344099023026034,0.517241379310345,0.47750893744794504,0.0168597889438403,0.460649148504105,0.9646922023408661
A81031,3,43.0,43.0,43.0,43.0,45.0,-0.531368666397251,-0.615386999972499,0.606257581546862,0.981578691680173,0.10510525436419399,0.876473437315979,0.8929222330771209
A81032,6,35.0,35.0,35.0,35.0,44.0,-0.256964753058581,-0.27780032047865005,0.5594083363098671,0.9379162776820341,0.0192143693277647,0.9187019083542691,0.97951376920843
A81033,2,41.0,41.0,41.0,41.0,41.0,-0.39356456409267704,-0.7711258118913279,0.600310040957849,0.903941156373239,0.24833898875880103,0.655602167614438,0.725270846439631
A81034,3,14.0,14.0,14.0,14.0,41.0,-0.109879754602215,-0.164763079689068,0.5650734862125091,0.6760015961022919,0.0926451445085297,0.5833564515937621,0.8629512932473751
A81035,0,,,,,,,,,,,,
A81036,2,41.0,41.0,41.0,41.0,41.0,-0.850621176668694,-8.62917070844087,0.9053855940393422,0.949196254785603,0.00968365123987525,0.939512603545727,0.9897980515714709
A81037,2,41.0,41.0,41.0,41.0,41.0,-0.155794481614002,-0.288849709255698,0.5326315173569439,0.695156221030148,0.11015711175064301,0.584999109279505,0.8415361778861709
A81038,1,34.0,34.0,34.0,34.0,34.0,-0.0129999631531958,-0.0145499267924789,0.53125,0.906472716563591,0.490473895661324,0.415998820902266,0.45892039914814503
A81039,1,6.0,6.0,6.0,6.0,6.0,-0.00406280942016376,-0.0138957865877279,0.516666666666667,0.296439883183792,0.05267131797396599,0.243768565209826,0.8223204063897499
A81040,0,,,,,,,,,,,,
A81041,2,40.0,40.0,40.0,40.0,40.0,-0.11291390220754,-0.126938250210587,0.565528528780235,1.00243224691624,0.00412803712615495,0.9983042097900849,0.995881978917923
A81042,2,44.0,44.0,44.0,44.0,44.0,-0.424132634937415,-0.926155500285721,0.518724610244346,0.882082336479508,0.06443723817266901,0.8176450983068392,0.926948726317494
A81043,3,43.0,43.0,43.0,43.0,43.0,-0.10841393479497802,-0.122065891003927,0.6179127614075172,0.996573058554542,0.29476567365427697,0.7018073849002651,0.7042207080313679
