code,month,numerator,denominator
practice_data_desogestrel,2010-08-01,81259,107964
practice_data_desogestrel,2010-09-01,90068,119603
practice_data_desogestrel,2010-10-01,82357,109052
practice_data_desogestrel,2010-11-01,61889,82377
practice_data_desogestrel,2010-12-01,67417,89988
practice_data_desogestrel,2011-01-01,89605,118463
practice_data_desogestrel,2011-02-01,81943,108894
practice_data_desogestrel,2011-03-01,93200,123978
practice_data_desogestrel,2011-04-01,83172,110876
practice_data_desogestrel,2011-05-01,90641,120992
practice_data_desogestrel,2011-06-01,95478,127606
practice_data_desogestrel,2011-07-01,94921,126516
practice_data_desogestrel,2011-08-01,95387,127272
practice_data_desogestrel,2011-09-01,100966,135246
practice_data_desogestrel,2011-10-01,91661,123069
practice_data_desogestrel,2011-11-01,95529,128607
practice_data_desogestrel,2011-12-01,94040,126171
practice_data_desogestrel,2012-01-01,103459,139198
practice_data_desogestrel,2012-02-01,97012,130564
practice_data_desogestrel,2012-03-01,103743,140133
practice_data_desogestrel,2012-04-01,95072,128010
practice_data_desogestrel,2012-05-01,108090,146127
practice_data_desogestrel,2012-06-01,100858,136092
practice_data_desogestrel,2012-07-01,109762,148257
practice_data_desogestrel,2012-08-01,107529,145448
practice_data_desogestrel,2012-09-01,101234,137662
practice_data_desogestrel,2012-10-01,110692,151204
practice_data_desogestrel,2012-11-01,109369,148785
practice_data_desogestrel,2012-12-01,100223,137023
practice_data_desogestrel,2013-01-01,117590,161883
practice_data_desogestrel,2013-02-01,101272,141086
practice_data_desogestrel,2013-03-01,102258,145325
practice_data_desogestrel,2013-04-01,108269,152713
practice_data_desogestrel,2013-05-01,107374,161208
practice_data_desogestrel,2013-06-01,98205,154824
practice_data_desogestrel,2013-07-01,104220,171554
practice_data_desogestrel,2013-08-01,92369,158336
practice_data_desogestrel,2013-09-01,89436,160236
practice_data_desogestrel,2013-10-01,89928,169093
practice_data_desogestrel,2013-11-01,82637,161461
practice_data_desogestrel,2013-12-01,78068,158587
practice_data_desogestrel,2014-01-01,84762,181629
practice_data_desogestrel,2014-02-01,69294,156879
practice_data_desogestrel,2014-03-01,71610,168377
practice_data_desogestrel,2014-04-01,67601,164749
practice_data_desogestrel,2014-05-01,69832,177115
practice_data_desogestrel,2014-06-01,65636,175596
practice_data_desogestrel,2014-07-01,65207,183830
practice_data_desogestrel,2014-08-01,56118,165326
practice_data_desogestrel,2014-09-01,58718,182339
practice_data_desogestrel,2014-10-01,56028,184096
practice_data_desogestrel,2014-11-01,49306,169194
practice_data_desogestrel,2014-12-01,50353,179548
practice_data_desogestrel,2015-01-01,50525,189231
practice_data_desogestrel,2015-02-01,43579,168926
practice_data_desogestrel,2015-03-01,47133,189232
practice_data_desogestrel,2015-04-01,44547,183280
practice_data_desogestrel,2015-05-01,42213,180763
practice_data_desogestrel,2015-06-01,44509,195620
practice_data_desogestrel,2015-07-01,44409,202407
practice_data_desogestrel,2015-08-01,38159,178066
practice_data_desogestrel,2015-09-01,40745,195920
practice_data_desogestrel,2015-10-01,39307,196402
practice_data_desogestrel,2015-11-01,36396,188356
practice_data_desogestrel,2015-12-01,37657,197554
