code,month,numerator,denominator
desogestrel,2010-08-01,8658617,11431882
desogestrel,2010-09-01,9606128,12682968
desogestrel,2010-10-01,8774039,11543542
desogestrel,2010-11-01,6496212,8585805
desogestrel,2010-12-01,7213467,9597051
desogestrel,2011-01-01,9787129,12875936
desogestrel,2011-02-01,9039031,11927001
desogestrel,2011-03-01,10187729,13454597
desogestrel,2011-04-01,8960860,11883598
desogestrel,2011-05-01,9709791,12890064
desogestrel,2011-06-01,10312857,13692022
desogestrel,2011-07-01,10313786,13649066
desogestrel,2011-08-01,10335963,13698783
desogestrel,2011-09-01,10852624,14441637
desogestrel,2011-10-01,9801328,13045328
desogestrel,2011-11-01,10223439,13687285
desogestrel,2011-12-01,10116210,13488323
desogestrel,2012-01-01,11273208,15054919
desogestrel,2012-02-01,10554273,14112816
desogestrel,2012-03-01,11232216,15042055
desogestrel,2012-04-01,10249299,13673529
desogestrel,2012-05-01,11710331,15704990
desogestrel,2012-06-01,10880071,14593190
desogestrel,2012-07-01,11950223,15986132
desogestrel,2012-08-01,11657076,15614687
desogestrel,2012-09-01,10838388,14582668
desogestrel,2012-10-01,11996736,16218105
desogestrel,2012-11-01,11837204,15964995
desogestrel,2012-12-01,10883297,14726704
desogestrel,2013-01-01,12951436,17618828
desogestrel,2013-02-01,11119287,15170242
desogestrel,2013-03-01,11354949,15594597
desogestrel,2013-04-01,11947003,16480253
desogestrel,2013-05-01,12696515,17297676
desogestrel,2013-06-01,12317336,16738450
desogestrel,2013-07-01,13767839,18567250
desogestrel,2013-08-01,12688515,16936030
desogestrel,2013-09-01,12858053,17122020
desogestrel,2013-10-01,13643895,18099871
desogestrel,2013-11-01,13140387,17311566
desogestrel,2013-12-01,13036163,17122000
desogestrel,2014-01-01,14974767,19721003
desogestrel,2014-02-01,12450571,16900282
desogestrel,2014-03-01,13378992,18150670
desogestrel,2014-04-01,13092003,17834256
desogestrel,2014-05-01,13990388,19283828
desogestrel,2014-06-01,13777815,19172258
desogestrel,2014-07-01,14271951,20080325
desogestrel,2014-08-01,12525762,17888563
desogestrel,2014-09-01,13718833,19764907
desogestrel,2014-10-01,13736572,19997894
desogestrel,2014-11-01,12646102,18446467
desogestrel,2014-12-01,13294423,19604597
desogestrel,2015-01-01,14003553,20772966
desogestrel,2015-02-01,12250095,18424431
desogestrel,2015-03-01,13591746,20587672
desogestrel,2015-04-01,13195238,20046819
desogestrel,2015-05-01,12933047,19849563
desogestrel,2015-06-01,13965560,21567043
desogestrel,2015-07-01,14327618,22386465
desogestrel,2015-08-01,12410859,19568635
desogestrel,2015-09-01,13618727,21547396
desogestrel,2015-10-01,13578261,21642031
desogestrel,2015-11-01,12891622,20748238
desogestrel,2015-12-01,13446120,21769785
desogestrel,2016-01-01,13577050,22252292
desogestrel,2016-02-01,12714314,21061184
desogestrel,2016-03-01,12927585,21676757
desogestrel,2016-04-01,14071698,23614314
desogestrel,2016-05-01,12583554,21674493
desogestrel,2016-06-01,12931031,23364150
desogestrel,2016-07-01,12543795,23165125
desogestrel,2016-08-01,12577150,23248912
desogestrel,2016-09-01,12924458,24058528
desogestrel,2016-10-01,12266290,22976366
desogestrel,2016-11-01,12577705,23702793
desogestrel,2016-12-01,12054591,23028156
desogestrel,2017-01-01,12715800,24716084
desogestrel,2017-02-01,11584998,22432482
desogestrel,2017-03-01,13063489,25771803
desogestrel,2017-04-01,11212628,22515381
desogestrel,2017-05-01,12836959,25790516
desogestrel,2017-06-01,12549806,26059942
desogestrel,2017-07-01,12253570,25580330
desogestrel,2017-08-01,11852380,24987067
desogestrel,2017-09-01,11440159,24742436
desogestrel,2017-10-01,11994032,26053734
desogestrel,2017-11-01,11795777,26037086
desogestrel,2017-12-01,10906344,24298624
desogestrel,2018-01-01,12264881,28078961
desogestrel,2018-02-01,10403200,24195326
desogestrel,2018-03-01,11296474,26223359
desogestrel,2018-04-01,11026018,26008708
desogestrel,2018-05-01,11440786,27431161
desogestrel,2018-06-01,11164812,27298709
desogestrel,2018-07-01,11219085,27899264
desogestrel,2018-08-01,10734606,27123795
desogestrel,2018-09-01,10131401,26105437
desogestrel,2018-10-01,10962105,28590047
desogestrel,2018-11-01,10477538,27549975
desogestrel,2018-12-01,9688213,25846848
desogestrel,2019-01-01,11159803,29909122
desogestrel,2019-02-01,9695374,26313358
desogestrel,2019-03-01,10253115,28252352
desogestrel,2019-04-01,9725213,27432790
desogestrel,2019-05-01,10621132,30574134
desogestrel,2019-06-01,9758124,28419905
desogestrel,2019-07-01,10064726,29757440
desogestrel,2019-08-01,9719228,29464222
desogestrel,2019-09-01,9591900,29529032
desogestrel,2019-10-01,9841974,30486685
desogestrel,2019-11-01,9255871,29041856
